step:82/1794 for epoch:1/12 | train loss:2.6229 | train acc:0.0703 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:83/1794 for epoch:1/12 | train loss:2.6010 | train acc:0.0547 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:84/1794 for epoch:1/12 | train loss:2.5623 | train acc:0.0938 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:85/1794 for epoch:1/12 | train loss:2.6000 | train acc:0.0859 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:86/1794 for epoch:1/12 | train loss:2.5249 | train acc:0.1406 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:87/1794 for epoch:1/12 | train loss:2.5937 | train acc:0.1172 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:88/1794 for epoch:1/12 | train loss:2.5997 | train acc:0.1016 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:89/1794 for epoch:1/12 | train loss:2.5603 | train acc:0.1172 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:90/1794 for epoch:1/12 | train loss:2.6044 | train acc:0.0703 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:91/1794 for epoch:1/12 | train loss:2.6130 | train acc:0.0938 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:92/1794 for epoch:1/12 | train loss:2.5901 | train acc:0.1719 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:93/1794 for epoch:1/12 | train loss:2.5764 | train acc:0.1172 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:94/1794 for epoch:1/12 | train loss:2.5592 | train acc:0.0859 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:95/1794 for epoch:1/12 | train loss:2.6955 | train acc:0.0938 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:96/1794 for epoch:1/12 | train loss:2.5597 | train acc:0.0938 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:97/1794 for epoch:1/12 | train loss:2.5804 | train acc:0.1328 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:98/1794 for epoch:1/12 | train loss:2.5680 | train acc:0.1328 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:99/1794 for epoch:1/12 | train loss:2.5162 | train acc:0.1484 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:100/1794 for epoch:1/12 | train loss:2.5822 | train acc:0.1641 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:101/1794 for epoch:1/12 | train loss:2.5672 | train acc:0.0625 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:102/1794 for epoch:1/12 | train loss:2.6187 | train acc:0.0781 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:103/1794 for epoch:1/12 | train loss:2.5480 | train acc:0.1719 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:104/1794 for epoch:1/12 | train loss:2.6114 | train acc:0.0781 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
step:105/1794 for epoch:1/12 | train loss:2.5277 | train acc:0.1797 | train auc:0.0000 | val loss:None | val acc:0.0000 | best val acc:0.0000 on step/epoch:0.0000/0.0000 for best loss:0.0000 |
